ZIP_CODE,STATE,ZIP_TYPE,RUCA1,RUCA2,RUCAFLOAT
00001,AK,Zip Code Area,10,10,10
00002,AK,Zip Code Area,10,10,10
00003,AK,Zip Code Area,10,10,10
00004,AK,Zip Code Area,10,10,10
00005,AK,Zip Code Area,10,10,10
00006,AK,Zip Code Area,10,10,10
00007,AK,Zip Code Area,10,10,10
00008,AK,Zip Code Area,10,10,10
00009,AK,Zip Code Area,10,10,10
00010,AK,Zip Code Area,10,10,10
00011,AK,Zip Code Area,8,8,8
00012,CA,Zip Code Area,5,5,5
00013,HI,Zip Code Area,10,10,10
00014,AZ,Zip Code Area,7,7,7
00015,AZ,Zip Code Area,1,1,1
00016,CA,Zip Code Area,8,8.1,8.0999999999999996
00017,CA,Zip Code Area,10,10.1,10.1
00018,CA,Zip Code Area,10,10,10
00019,CA,Zip Code Area,10,10,10
00020,CA,Zip Code Area,10,10,10
00022,CA,Zip Code Area,4,4,4
00026,CA,Zip Code Area,10,10.1,10.1
00027,CO,Zip Code Area,1,1,1
00028,CA,Zip Code Area,2,2,2
00029,CA,Zip Code Area,2,2,2
00031,CA,Zip Code Area,10,10,10
00032,CA,Zip Code Area,10,10,10
00033,CA,Zip Code Area,10,10,10
00034,CA,Zip Code Area,10,10,10
00035,CA,Zip Code Area,8,8,8
00037,CA,Zip Code Area,5,5,5
00038,CA,Zip Code Area,5,5,5
00039,CA,Zip Code Area,10,10.2,10.199999999999999
00040,CA,Zip Code Area,10,10,10
00041,FL,Zip Code Area,2,2,2
00042,FL,Zip Code Area,1,1,1
00043,FL,Zip Code Area,2,2,2
00044,CA,Zip Code Area,10,10,10
00045,FL,Zip Code Area,2,2,2
00047,CA,Zip Code Area,10,10,10
00048,CA,Zip Code Area,4,4,4
00049,CA,Zip Code Area,10,10.2,10.199999999999999
00050,CA,Zip Code Area,10,10,10
00051,CA,Zip Code Area,2,2,2
00052,CA,Zip Code Area,2,2,2
00053,FL,Zip Code Area,1,1,1
00054,CA,Zip Code Area,10,10,10
00055,CA,Zip Code Area,10,10,10
00056,ID,Zip Code Area,2,2,2
00057,CA,Zip Code Area,10,10,10
00058,CA,Zip Code Area,10,10,10
00059,MN,Zip Code Area,10,10,10
00060,MN,Zip Code Area,10,10,10
00061,CA,Zip Code Area,10,10,10
00063,MT,Zip Code Area,2,2,2
00064,NM,Zip Code Area,10,10,10
00065,CA,Zip Code Area,10,10,10
00066,NM,Zip Code Area,10,10,10
00067,OK,Zip Code Area,1,1,1
00068,OR,Zip Code Area,5,5,5
00069,OR,Zip Code Area,2,2,2
00070,OR,Zip Code Area,10,10,10
00071,UT,Zip Code Area,2,2,2
00072,WA,Zip Code Area,2,2,2
00073,WA,Zip Code Area,2,2.1,2.1000000000000001
00074,WA,Zip Code Area,10,10,10
00076,WA,Zip Code Area,10,10,10
00077,OR,Zip Code Area,3,3,3
00084,NC,Zip Code Area,2,2,2
00087,FL,Zip Code Area,2,2,2
00097,FL,Zip Code Area,10,10,10
00098,FL,Zip Code Area,10,10,10
00100,UT,Zip Code Area,1,1,1
00116,LA,Zip Code Area,2,2,2
00119,LA,Zip Code Area,4,4,4
00121,LA,Zip Code Area,2,2,2
00125,ME,Zip Code Area,10,10,10
00126,ME,Zip Code Area,10,10,10
00127,ME,Zip Code Area,2,2,2
00128,ME,Zip Code Area,10,10,10
00130,ME,Zip Code Area,10,10,10
00132,ME,Zip Code Area,10,10,10
00133,ME,Zip Code Area,10,10,10
00134,ME,Zip Code Area,10,10,10
00135,ME,Zip Code Area,9,9,9
00137,ME,Zip Code Area,8,8,8
00138,ME,Zip Code Area,8,8,8
00139,ME,Zip Code Area,10,10,10
00141,ME,Zip Code Area,10,10,10
00148,ME,Zip Code Area,9,9,9
00151,ME,Zip Code Area,10,10,10
00152,MD,Zip Code Area,6,6,6
00158,MA,Zip Code Area,10,10,10
00160,MN,Zip Code Area,10,10,10
00161,MN,Zip Code Area,9,9,9
00164,MN,Zip Code Area,10,10,10
00165,MN,Zip Code Area,10,10,10
00166,MN,Zip Code Area,5,5,5
00168,NH,Zip Code Area,4,4,4
00172,NH,Zip Code Area,10,10,10
00173,NH,Zip Code Area,6,6,6
00174,NH,Zip Code Area,6,6,6
00176,NH,Zip Code Area,6,6,6
00177,NH,Zip Code Area,4,4,4
00179,NH,Zip Code Area,6,6,6
00180,NH,Zip Code Area,6,6,6
00181,NH,Zip Code Area,6,6,6
00182,NH,Zip Code Area,6,6,6
00183,NH,Zip Code Area,4,4,4
00184,NH,Zip Code Area,4,4,4
00185,NH,Zip Code Area,10,10,10
00188,TX,Zip Code Area,5,5,5
00195,WA,Zip Code Area,10,10,10
00197,AZ,Zip Code Area,2,2,2
00198,AK,Zip Code Area,2,2,2
00199,AZ,Zip Code Area,1,1,1
00501,NY,Post Office or large volume customer,1,1,1
00544,NY,Post Office or large volume customer,1,1,1
00601,PR,Zip Code Area,4,4,4
00602,PR,Zip Code Area,1,1,1
00603,PR,Zip Code Area,1,1,1
00604,PR,Post Office or large volume customer,1,1,1
00605,PR,Post Office or large volume customer,1,1,1
00606,PR,Zip Code Area,7,7,7
00610,PR,Zip Code Area,1,1,1
00611,PR,Post Office or large volume customer,1,1,1
00612,PR,Zip Code Area,1,1,1
00613,PR,Post Office or large volume customer,1,1,1
00614,PR,Post Office or large volume customer,1,1,1
00616,PR,Post Office or large volume customer,1,1,1
00617,PR,Zip Code Area,1,1,1
00622,PR,Post Office or large volume customer,1,1,1
00623,PR,Zip Code Area,1,1,1
00624,PR,Zip Code Area,1,1,1
00627,PR,Zip Code Area,1,1,1
00631,PR,Zip Code Area,10,10,10
00636,PR,Post Office or large volume customer,1,1,1
00637,PR,Zip Code Area,1,1,1
00638,PR,Zip Code Area,1,1,1
00641,PR,Zip Code Area,1,1,1
00646,PR,Zip Code Area,1,1,1
00647,PR,Zip Code Area,1,1,1
00650,PR,Zip Code Area,1,1,1
00652,PR,Post Office or large volume customer,1,1,1
00653,PR,Zip Code Area,1,1,1
00656,PR,Zip Code Area,1,1,1
00659,PR,Zip Code Area,1,1,1
00660,PR,Zip Code Area,1,1,1
00662,PR,Zip Code Area,1,1,1
00664,PR,Zip Code Area,4,4,4
00667,PR,Zip Code Area,1,1,1
00669,PR,Zip Code Area,1,1,1
00670,PR,Zip Code Area,1,1,1
00674,PR,Zip Code Area,1,1,1
00676,PR,Zip Code Area,1,1,1
00677,PR,Zip Code Area,1,1,1
00678,PR,Zip Code Area,1,1,1
00680,PR,Zip Code Area,1,1,1
00681,PR,Post Office or large volume customer,1,1,1
00682,PR,Zip Code Area,1,1,1
00683,PR,Zip Code Area,1,1,1
00685,PR,Zip Code Area,1,1,1
00687,PR,Zip Code Area,1,1,1
00688,PR,Post Office or large volume customer,1,1,1
00690,PR,Zip Code Area,1,1,1
00692,PR,Zip Code Area,1,1,1
00693,PR,Zip Code Area,1,1,1
00694,PR,Post Office or large volume customer,1,1,1
00698,PR,Zip Code Area,1,1,1
00703,PR,Zip Code Area,1,1,1
00704,PR,Zip Code Area,1,1,1
00705,PR,Zip Code Area,1,1,1
00707,PR,Zip Code Area,7,7,7
00714,PR,Zip Code Area,1,1,1
00715,PR,Zip Code Area,1,1,1
00716,PR,Zip Code Area,1,1,1
00717,PR,Zip Code Area,1,1,1
07748,NJ,Zip Code Area,1,1,1
07750,NJ,Zip Code Area,1,1,1
07751,NJ,Zip Code Area,1,1,1
07752,NJ,Post Office or large volume customer,1,1,1
07753,NJ,Zip Code Area,1,1,1
07754,NJ,Post Office or large volume customer,1,1,1
07755,NJ,Zip Code Area,1,1,1
07756,NJ,Zip Code Area,1,1,1
07757,NJ,Zip Code Area,1,1,1
07758,NJ,Zip Code Area,1,1,1
07760,NJ,Zip Code Area,1,1,1
07762,NJ,Zip Code Area,1,1,1
07763,NJ,Post Office or large volume customer,1,1,1
07764,NJ,Zip Code Area,1,1,1
07765,NJ,Post Office or large volume customer,1,1,1
07799,NJ,Post Office or large volume customer,1,1,1
07801,NJ,Zip Code Area,1,1,1
07802,NJ,Post Office or large volume customer,1,1,1
07803,NJ,Zip Code Area,1,1,1
07806,NJ,Post Office or large volume customer,1,1,1
07820,NJ,Post Office or large volume customer,1,1,1
07821,NJ,Zip Code Area,1,1,1
07822,NJ,Zip Code Area,2,2,2
07823,NJ,Zip Code Area,2,2,2
07825,NJ,Zip Code Area,2,2,2
07826,NJ,Zip Code Area,2,2,2
07827,NJ,Zip Code Area,2,2,2
07828,NJ,Zip Code Area,1,1,1
07829,NJ,Post Office or large volume customer,2,2,2
07830,NJ,Zip Code Area,2,2,2
07831,NJ,Post Office or large volume customer,2,2,2
07832,NJ,Zip Code Area,2,2,2
07833,NJ,Post Office or large volume customer,2,2,2
07834,NJ,Zip Code Area,1,1,1
07836,NJ,Zip Code Area,1,1,1
07837,NJ,Post Office or large volume customer,1,1,1
07838,NJ,Zip Code Area,2,2,2
07839,NJ,Post Office or large volume customer,2,2,2
07840,NJ,Zip Code Area,1,1,1
07842,NJ,Post Office or large volume customer,1,1,1
07843,NJ,Zip Code Area,1,1,1
07844,NJ,Post Office or large volume customer,2,2,2
07845,NJ,Post Office or large volume customer,1,1,1
07846,NJ,Post Office or large volume customer,2,2,2
07847,NJ,Zip Code Area,1,1,1
07848,NJ,Zip Code Area,2,2,2
07849,NJ,Zip Code Area,1,1,1
07850,NJ,Zip Code Area,1,1,1
07851,NJ,Zip Code Area,2,2,2
07852,NJ,Zip Code Area,1,1,1
07853,NJ,Zip Code Area,1,1,1
07855,NJ,Post Office or large volume customer,2,2,2
07856,NJ,Zip Code Area,1,1,1
07857,NJ,Zip Code Area,1,1,1
07860,NJ,Zip Code Area,2,2,2
07863,NJ,Zip Code Area,2,2,2
07865,NJ,Zip Code Area,1,1,1
07866,NJ,Zip Code Area,1,1,1
07869,NJ,Zip Code Area,1,1,1
07870,NJ,Post Office or large volume customer,1,1,1
07871,NJ,Zip Code Area,1,1,1
07874,NJ,Zip Code Area,1,1,1
07875,NJ,Post Office or large volume customer,2,2,2
07876,NJ,Zip Code Area,1,1,1
07877,NJ,Post Office or large volume customer,2,2,2
07878,NJ,Zip Code Area,1,1,1
07879,NJ,Post Office or large volume customer,2,2,2
07880,NJ,Post Office or large volume customer,1,1,1
07881,NJ,Post Office or large volume customer,2,2,2
07882,NJ,Zip Code Area,2,2,2
07885,NJ,Zip Code Area,1,1,1
07890,NJ,Post Office or large volume customer,2,2,2
07901,NJ,Zip Code Area,1,1,1
07902,NJ,Post Office or large volume customer,1,1,1
07920,NJ,Zip Code Area,1,1,1
07921,NJ,Zip Code Area,1,1,1
07922,NJ,Zip Code Area,1,1,1
07924,NJ,Zip Code Area,1,1,1
07926,NJ,Post Office or large volume customer,1,1,1
07927,NJ,Zip Code Area,1,1,1
07928,NJ,Zip Code Area,1,1,1
07930,NJ,Zip Code Area,1,1,1
07931,NJ,Zip Code Area,1,1,1
07932,NJ,Zip Code Area,1,1,1
07933,NJ,Zip Code Area,1,1,1
07934,NJ,Zip Code Area,1,1,1
07935,NJ,Zip Code Area,1,1,1
07936,NJ,Zip Code Area,1,1,1
07938,NJ,Post Office or large volume customer,1,1,1
07939,NJ,Post Office or large volume customer,1,1,1
07940,NJ,Zip Code Area,1,1,1
07945,NJ,Zip Code Area,1,1,1
07946,NJ,Zip Code Area,1,1,1
07950,NJ,Zip Code Area,1,1,1
07960,NJ,Zip Code Area,1,1,1
07961,NJ,Post Office or large volume customer,1,1,1
07962,NJ,Post Office or large volume customer,1,1,1
07963,NJ,Post Office or large volume customer,1,1,1
07970,NJ,Post Office or large volume customer,1,1,1
07974,NJ,Zip Code Area,1,1,1
07976,NJ,Zip Code Area,2,2,2
07977,NJ,Post Office or large volume customer,1,1,1
07978,NJ,Post Office or large volume customer,1,1,1
07979,NJ,Post Office or large volume customer,2,2,2
07980,NJ,Zip Code Area,1,1,1
07981,NJ,Zip Code Area,1,1,1
07999,NJ,Post Office or large volume customer,1,1,1
08001,NJ,Zip Code Area,2,2,2
08002,NJ,Zip Code Area,1,1,1
08003,NJ,Zip Code Area,1,1,1
08004,NJ,Zip Code Area,1,1,1
08005,NJ,Zip Code Area,1,1,1
08006,NJ,Zip Code Area,1,1,1
08007,NJ,Zip Code Area,1,1,1
08008,NJ,Zip Code Area,1,1,1
08009,NJ,Zip Code Area,1,1,1
08010,NJ,Zip Code Area,1,1,1
08011,NJ,Post Office or large volume customer,1,1,1
08012,NJ,Zip Code Area,1,1,1
08014,NJ,Zip Code Area,1,1,1
08015,NJ,Zip Code Area,4,4,4
08016,NJ,Zip Code Area,1,1,1
08018,NJ,Post Office or large volume customer,1,1,1
08019,NJ,Zip Code Area,10,10,10
08020,NJ,Zip Code Area,1,1,1
08021,NJ,Zip Code Area,1,1,1
08022,NJ,Zip Code Area,1,1,1
08023,NJ,Post Office or large volume customer,1,1,1
08025,NJ,Post Office or large volume customer,1,1,1
08026,NJ,Zip Code Area,1,1,1
08027,NJ,Zip Code Area,1,1,1
08028,NJ,Zip Code Area,1,1,1
08029,NJ,Zip Code Area,1,1,1
